#{"t_start": 1775967785.2824872, "env_id": "None"}
r,l,t
-64.647041,86,0.613086
-44.310785,52,0.624249
-41.650464,36,0.630839
-28.98105,49,0.638947
-35.797576,41,0.645493
-106.694315,99,0.662239
-30.094024,24,0.666532
-26.895632,30,0.671437
-35.327416,55,0.680443
-43.396505,42,0.688572
-83.425309,63,0.69938
-26.140328,23,0.703168
-42.269008,47,0.710725
-67.244559,68,0.722448
-46.635969,73,0.734727
-61.321188,93,0.749773
-27.646783,35,0.755397
-27.287016,22,0.758949
-34.250381,36,0.764727
-47.39618,52,0.773036
-62.539809,54,0.781832
-54.581468,71,0.794163
-115.232888,115,0.813132
-30.237504,34,0.818707
-50.925632,57,0.827817
-47.823674,54,0.836517
-68.361422,84,0.851445
-43.046895,36,0.857681
-46.630338,54,0.867084
-41.871407,44,0.874528
-38.471733,94,0.890047
-48.090527,56,0.900228
-57.682745,70,0.911532
-74.352842,85,0.925528
-25.48378,27,0.930146
-65.908886,79,0.943223
-28.859896,30,0.948313
-56.791888,73,0.959936
-37.835712,58,0.969168
-44.939546,44,0.976137
-32.259233,55,0.984906
-75.473284,66,0.995384
-80.049362,95,1.011498
-23.689975,40,1.018093
-32.395487,30,1.02291
-26.410385,23,1.026628
-32.092897,34,1.032202
-35.428519,60,1.04214
-36.36057,48,1.049991
-23.99006,26,1.054118
-22.901412,29,1.058686
-103.209401,94,1.074037
-45.457213,41,1.080755
-22.771091,18,1.083713
-45.603467,80,1.096805
-34.968902,67,1.108562
-36.586316,40,1.114973
-45.833307,30,1.119971
-26.538375,37,1.126119
-33.394784,41,1.132948
-114.609091,100,1.149547
-52.346111,92,1.164618
-71.298593,80,1.179326
-40.636189,59,1.189086
-56.765858,47,1.196957
-35.738461,43,1.203988
-27.150464,23,1.207671
-21.853045,29,1.212981
-42.576836,40,1.21964
-50.715403,47,1.227327
-39.017611,63,1.237763
-51.898747,47,1.245405
-85.327334,70,1.256799
-46.328152,72,1.268381
-25.050716,28,1.272916
-61.075468,52,1.281246
-28.240465,33,1.614328
-138.508051,131,1.637406
-36.949103,42,1.645093
-31.296108,34,1.651358
-34.535691,46,1.659283
-54.34799,57,1.669961
-117.256142,111,1.688621
-46.35264,67,1.699978
-38.458225,39,1.706373
-57.869128,52,1.715049
-29.857015,32,1.720507
-36.927502,51,1.728915
-46.097722,36,1.734906
-24.837883,46,1.743046
-38.125249,31,1.748692
-44.418708,40,1.755146
-68.335028,93,1.770706
-33.918146,50,1.779135
-58.139422,66,1.790038
-50.761933,64,1.800645
-36.097442,41,1.807298
-65.551633,64,1.817624
-54.962094,59,1.827164
-49.150659,57,1.836591
-42.295255,63,1.847612
-30.167065,40,1.854175
-26.134548,34,1.859676
-49.226205,37,1.865893
-59.416293,75,1.878337
-37.555074,34,1.883878
-26.176696,45,1.89107
-39.687915,56,1.899938
-78.691795,72,1.911358
-44.756231,50,1.919568
-47.588787,41,1.926249
-53.780648,63,1.936458
-47.391028,62,1.946413
-31.995999,52,1.955909
-36.323642,62,1.96637
-19.399723,25,1.970519
-64.360307,84,1.984333
-25.455978,33,1.989765
-52.400178,49,1.997704
-53.403592,50,2.006011
-25.176134,18,2.009079
-79.852228,78,2.021912
-64.427414,58,2.03145
-42.395608,59,2.041112
-97.906517,78,2.054605
-34.735131,41,2.061381
-21.348047,28,2.066085
-29.745356,36,2.071883
-40.318989,65,2.082309
-63.458647,89,2.097121
-33.605244,40,2.103777
-25.325815,33,2.109308
-58.100479,99,2.125439
-31.95861,26,2.129668
-51.57848,68,2.140943
-29.593168,35,2.146777
-47.713942,64,2.157022
-68.665206,76,2.17007
-40.008898,24,2.174099
-57.897479,71,2.185646
-57.344051,65,2.196087
-50.161467,106,2.213049
-28.661203,36,2.218886
-25.139935,23,2.222591
-36.676148,37,2.228515
-26.49482,29,2.233168
-29.806553,39,2.239406
-24.640081,29,2.244034
-51.007888,77,2.256284
-49.530802,61,2.266686
-29.649903,37,2.27293
-25.295741,46,2.280608
-52.191558,63,2.587383
-22.90244,28,2.592767
-35.153898,55,2.603488
-40.691025,52,2.612211
-21.902738,23,2.61643
-69.253572,109,2.633967
-30.211246,36,2.639743
-21.307426,23,2.643498
-66.611526,77,2.656153
-110.319545,113,2.674882
-26.523678,34,2.680459
-24.182717,28,2.684991
-20.724211,30,2.690627
-24.977888,20,2.694149
-30.402109,47,2.701885
-38.578951,31,2.706856
-82.581944,83,2.720563
-29.982777,25,2.7249
-108.087604,76,2.738034
-62.605899,96,2.754247
-98.334656,64,2.764853
-58.382556,54,2.773574
-72.771773,67,2.784501
-39.137172,35,2.790251
-43.366777,50,2.799623
-36.633269,42,2.806407
-64.918432,79,2.819318
-98.437254,84,2.832868
-93.948328,100,2.84879
-58.275922,40,2.855261
-34.371182,84,2.868574
-59.316403,69,2.879657
-27.198551,42,2.886455
-44.734101,35,2.892133
-42.841536,54,2.901604
-40.208749,68,2.912752
-24.913565,32,2.918073
-23.477757,21,2.921478
-43.481898,58,2.930763
-57.152607,61,2.940505
-32.868022,48,2.948222
-42.996127,58,2.957528
-58.728728,64,2.968143
-27.440328,34,2.973818
-51.739461,47,2.981618
-86.622237,70,2.993081
-39.022379,37,2.999262
-56.388806,67,3.011087
-42.362946,61,3.021035
-43.783166,50,3.029003
-40.22254,69,3.040337
-29.783792,73,3.052012
-131.511633,120,3.071117
-45.729723,42,3.077851
-50.207054,60,3.08765
-39.109864,45,3.094866
-31.813191,39,3.101143
-42.176349,45,3.109631
-28.72832,65,3.12091
-38.21819,47,3.128846
-35.929534,54,3.138259
-30.593664,25,3.142475
-46.782857,50,3.151181
-45.663656,53,3.159826
-84.442695,97,3.175377
-37.428751,30,3.180204
-40.582974,32,3.185284
-100.461252,55,3.194006
-23.092385,22,3.197584
-45.907687,67,3.208196
-82.997718,74,3.221456
-62.835944,41,3.228437
-36.380623,27,3.233102
-38.618895,30,3.238139
-29.522485,32,3.243487
-68.320106,74,3.255918
-40.13799,57,3.265498
-58.732832,88,3.558037
-29.522018,26,3.562358
-57.476017,64,3.57379
-55.112651,61,3.585433
-39.038195,39,3.592161
-30.198672,30,3.597502
-25.631921,32,3.60328
-75.752402,56,3.612489
-71.092653,63,3.622947
-24.450295,23,3.626687
-106.768159,92,3.642445
-61.135222,51,3.651182
-29.25888,45,3.658654
-38.154246,70,3.670456
-99.16221,72,3.682789
-37.750828,48,3.690906
-49.692367,72,3.702759
-27.546086,19,3.705924
-38.226368,35,3.711592
-63.31078,73,3.723667
-32.247073,38,3.73003
-39.189973,41,3.737458
-42.67855,47,3.745214
-40.56205,75,3.757291
-20.581382,26,3.76152
-53.631343,52,3.769803
-23.585657,20,3.773009
-119.363232,95,3.788052
-39.997035,34,3.793535
-24.501755,30,3.7986
-61.125219,70,3.809899
-69.712312,73,3.821635
-67.787205,82,3.834791
-47.300374,71,3.847344
-37.370274,45,3.855062
-40.174815,43,3.862127
-90.177643,84,3.876127
-25.709834,23,3.880024
-37.332902,35,3.885879
-24.163734,22,3.889516
-97.514457,100,3.905871
-35.517668,55,3.914906
-32.025611,41,3.921573
-34.555631,56,3.930569
-27.530012,39,3.936838
-40.514917,37,3.942818
-40.278185,46,3.951225
-28.308315,28,3.956375
-46.043285,61,3.966603
-31.941101,44,3.97401
-99.052846,91,3.989142
-55.574073,58,3.998729
-91.776192,99,4.014871
-36.267555,32,4.020118
-52.417091,64,4.030439
-40.507905,46,4.037883
-72.767823,72,4.049484
-26.813238,32,4.055451
-32.228665,54,4.064905
-61.060188,73,4.076661
-56.108636,75,4.088937
-49.811505,70,4.100202
-85.158214,108,4.11759
-41.225606,48,4.125267
-76.000604,66,4.135849
