#{"t_start": 1775959733.6788962, "env_id": "None"}
r,l,t
-5863.248115,55,0.523921
-10035.382361,81,0.540335
-6490.887632,52,0.550185
-7154.526306,51,0.559909
-11017.180321,92,0.578047
-11927.204627,82,0.593828
-8035.230722,64,0.609208
-9705.479856,72,0.62317
-7191.525053,59,0.634483
-11578.18324,84,0.650445
-9419.185944,68,0.664449
-10916.122132,74,0.680683
-10070.670932,73,0.695686
-8168.700166,62,0.708998
-11066.648369,77,0.724695
-8123.049381,68,0.737815
-4992.425458,42,0.745856
-5297.292808,50,0.755471
-11944.414493,93,0.773063
-7849.479845,58,0.784033
-6475.426228,48,0.793186
-7893.950168,65,0.807724
-11320.903464,66,0.820787
-11967.352633,90,0.838202
-5854.841437,50,0.847585
-10033.108766,80,0.862525
-5497.27887,46,0.871229
-5396.373191,41,0.878928
-10742.698418,81,0.894147
-8177.192878,61,0.905564
-4844.915207,34,0.912797
-8279.559964,72,0.926639
-7860.401433,65,0.938891
-8060.64791,66,0.95118
-8987.935002,72,0.964586
-9644.41253,65,0.976575
-8307.419638,72,0.989876
-12585.197449,98,1.008094
-9355.76026,74,1.023069
-8949.487541,68,1.036038
-7730.932618,62,1.047704
-8928.012844,71,1.061245
-5016.515068,34,1.067766
-9871.264446,80,1.082992
-7952.65421,56,1.093634
-8718.441724,64,1.106801
-4378.212371,48,1.115887
-7089.495542,51,1.126579
-8992.263627,73,1.140807
-7347.222316,61,1.152429
-4727.435518,43,1.160445
-7162.609289,76,1.174698
-4237.522096,36,1.18153
-5145.161143,46,1.190019
-11788.069793,85,1.206151
-5822.062963,52,1.215988
-9085.532212,64,1.229082
-9873.719352,90,1.24705
-7118.050101,62,1.258863
-5035.567879,40,1.266591
-6421.78748,58,1.277471
-5884.116794,53,1.28745
-9656.302243,79,1.302178
-5705.869382,48,1.785229
-4954.765509,31,1.79165
-3980.599231,31,1.799464
-7268.921062,60,1.810998
-11713.576049,99,1.830855
-7066.287276,61,1.842772
-10369.013493,82,1.859554
-7912.931667,58,1.870847
-9250.869774,69,1.884159
-6014.440946,56,1.894865
-8534.921822,74,1.908911
-10261.652285,76,1.92351
-10155.228788,90,1.940583
-9364.724672,84,1.956423
-11733.891741,85,1.973551
-5922.831401,59,1.984956
-5844.879212,52,1.994712
-7672.268115,59,2.006149
-5034.501196,32,2.012235
-10843.750904,83,2.027858
-12261.467147,91,2.044809
-6613.950131,59,2.055987
-7336.465888,54,2.067419
-7090.330677,63,2.080063
-11453.480589,94,2.098574
-7977.915337,61,2.1101
-8579.137952,74,2.124484
-7000.599607,60,2.135842
-8692.62611,59,2.146897
-10142.157921,84,2.162612
-10055.987186,79,2.178242
-12688.653679,90,2.195393
-10032.457338,71,2.208917
-7974.695756,65,2.221434
-10399.069429,78,2.236333
-7252.536209,60,2.248122
-9859.981262,74,2.261963
-6248.405317,42,2.270036
-12153.952065,84,2.286988
-10981.153339,101,2.305915
-5790.423322,40,2.313492
-8285.378682,61,2.324976
-5601.842584,49,2.334249
-10602.056031,76,2.348422
-6549.010713,52,2.358092
-8189.535239,67,2.370771
-11672.020301,98,2.390103
-7710.972307,63,2.402184
-8274.002246,69,2.415188
-8786.323684,74,2.429299
-8259.516544,62,2.441304
-4116.295818,28,2.446729
-5277.950693,40,2.454178
-10121.234099,74,2.468092
-4463.426994,44,2.476491
-6611.575155,52,2.487187
-7343.582871,57,2.498324
-10890.859983,84,2.514446
-9480.15997,66,2.526762
-6879.00947,50,2.536303
-7486.650813,63,2.548297
-6425.471687,56,2.55882
-10769.166563,79,2.573726
-11423.875944,82,3.021168
-11042.504626,68,3.034622
-8790.191184,70,3.047973
-5657.051265,49,3.057364
-7877.343895,60,3.068927
-8834.241277,70,3.082364
-9605.888642,78,3.097426
-9702.885728,74,3.1116
-11410.875414,92,3.130293
-8595.381121,66,3.142903
-4939.249123,32,3.149071
-10304.368837,76,3.163565
-11220.075642,80,3.178818
-6183.836133,62,3.190707
-8643.580297,84,3.206717
-4185.723789,33,3.213797
-7983.737041,70,3.227663
-8051.056733,70,3.241189
-8106.394557,63,3.253567
-4444.937132,40,3.261315
-4998.610238,41,3.269317
-10282.567649,87,3.285866
-9489.968183,74,3.29985
-5438.546318,44,3.308196
-9887.816161,82,3.32443
-8802.176772,68,3.337715
-9184.143582,74,3.351781
-10643.988057,85,3.367794
-7730.699572,60,3.37927
-9048.261878,74,3.393439
-4174.300359,42,3.401447
-7160.359435,58,3.412386
-5164.595902,40,3.420058
-8384.43933,58,3.43207
-10955.707689,86,3.448386
-8214.235999,62,3.460132
-6175.052438,54,3.470354
-6487.21864,45,3.478895
-10872.709196,85,3.495261
-9362.408609,64,3.507551
-9321.560564,68,3.520685
-4932.039163,44,3.529105
-9387.878014,59,3.541372
-8390.314946,66,3.554125
-9659.070105,75,3.568326
-8354.044129,66,3.580839
-10259.302003,72,3.594946
-11127.040796,79,3.610375
-12708.770338,90,3.627368
-8731.356579,68,3.641034
-7317.661381,51,3.651418
-9323.914748,68,3.664375
-7730.102622,57,3.675195
-7620.572527,60,3.686527
-10772.43038,82,3.701892
-9278.827364,80,3.718112
-4802.13649,48,3.727965
-8455.409029,78,3.744135
-4325.863958,28,3.749708
-3952.08994,30,3.755442
-8972.454046,78,3.770095
-6357.645797,49,3.779245
-8206.594852,73,3.793308
-5353.340152,36,4.223593
-8235.899369,64,4.236155
