#{"t_start": 1775959170.776017, "env_id": "None"}
r,l,t
-3291.817852,210,0.540701
-2122.655362,155,0.564484
-1667.099584,115,0.581559
-4148.662125,197,0.612527
-3433.933286,159,0.635583
-4800.122375,238,0.670115
-3334.615729,236,0.70516
-3661.240549,156,0.728716
-3055.268314,163,0.752285
-2685.712287,164,0.776004
-6533.750479,310,1.129168
-3100.418274,195,1.159055
-7226.142187,321,1.206529
-3433.218003,229,1.241987
-3931.163895,272,1.28191
-1880.49765,160,1.305777
-9559.06105,475,1.376312
-3845.616478,180,1.402938
-3313.674464,237,1.669543
-3163.472555,204,1.699285
-6138.3091,480,1.771964
-9064.720853,480,1.844121
-8640.978584,480,1.916705
-3612.731632,237,1.950734
-4405.007453,480,2.249845
-5115.831537,480,2.322424
-5674.198533,480,2.39447
-2629.599879,215,2.426609
-4849.11588,480,2.498217
-4663.948633,480,2.795895
-4733.600936,480,2.868631
-5030.005292,480,2.939962
-4045.977168,480,3.011256
-6461.255272,480,3.310447
-4727.551675,480,3.381805
-6215.664858,480,3.453494
-4570.13765,480,3.525673
-2060.996412,480,3.826916
-3483.17094,480,3.898039
-4485.279921,480,3.969742
-4299.296666,480,4.039654
-2767.857856,480,4.337163
-2500.480035,480,4.409349
-2594.801448,480,4.479341
-3542.126035,480,4.551289
-4653.8749,480,4.622584
-2470.520978,480,4.91942
-3456.164134,480,4.990933
-2703.384738,480,5.062542
-2711.658752,480,5.133072
-1611.156458,480,5.431345
-2592.53064,480,5.502265
-2232.744974,480,5.57377
-2830.673038,480,5.643758
-2705.072606,480,5.942389
-2018.464081,480,6.015861
-2698.12376,480,6.088894
-1340.907617,480,6.157583
-1353.792604,480,6.455577
-1141.862162,480,6.528137
-2006.910021,480,6.59963
-2321.142724,480,6.671179
-1955.363756,480,6.744005
-2215.073218,480,7.046374
-1738.280441,480,7.117936
-1048.320571,480,7.18934
-2501.142946,480,7.261046
-2753.730018,480,7.561129
-2054.078968,480,7.631992
-2401.216707,480,7.705199
-2357.146371,480,7.776805
-2450.44687,480,8.082664
-2197.136454,480,8.153887
-1453.279005,480,8.22587
-1965.083036,480,8.29804
-2323.60505,480,8.594607
-2053.020392,480,8.665005
-1351.568191,480,8.736811
-1233.740672,480,8.807686
-1877.037732,480,8.879352
-2121.030859,480,9.218743
-1342.806428,480,9.290739
-864.99914,480,9.364128
-1647.988371,480,9.436195
-1320.450533,480,9.735029
-1816.000248,480,9.806678
-1046.446491,480,9.878456
-1292.303751,480,9.948128
-872.848402,480,10.248144
-1551.717275,480,10.321304
-1295.531223,480,10.393833
-796.386096,480,10.465444
-836.608545,480,10.537084
-1073.391608,480,10.840241
-1086.006514,480,10.912525
-936.695356,480,10.982966
-983.516918,480,11.05555
-963.284321,480,11.355505
-1678.672103,480,11.425872
-1807.297701,477,11.496542
-900.936925,480,11.567498
-730.691378,480,11.869775
-1045.095515,480,11.939777
-1365.38134,480,12.012837
-868.348219,480,12.084206
-1112.744524,480,12.382209
-689.323733,480,12.452915
-1160.093829,480,12.526069
-1716.48877,480,12.598582
-998.83596,480,12.670373
-1097.07486,480,12.969948
-1569.672418,480,13.043563
-1773.53619,467,13.111919
-1138.872303,480,13.184324
-1220.450154,480,13.485029
-1207.559378,480,13.556124
-1705.623853,480,13.653132
-1319.735955,480,13.724304
-1375.063323,480,14.079576
-1119.257212,480,14.151058
-2093.490847,480,14.223845
-988.204544,480,14.294876
-866.380355,480,14.595231
-804.744201,480,14.667933
-883.253492,480,14.746154
-706.616918,480,14.827969
-907.79467,480,14.907896
-537.986302,480,15.251409
-877.525365,480,15.32989
-1585.840866,479,15.410457
-1698.804222,480,15.492646
-1097.227224,480,15.807541
-1119.827881,480,15.879848
-836.66993,480,15.951394
-1118.307646,480,16.024291
-1077.296907,480,16.325462
-1314.495232,480,16.396595
-857.009264,480,16.469635
-664.163192,480,16.542619
-1318.419955,480,16.84282
-1051.896186,480,16.921179
-1708.738135,480,17.004752
-1492.011792,472,17.077443
-1986.523323,477,17.149162
-1067.086898,480,17.450687
-1108.863427,480,17.524606
-880.295413,480,17.596889
-579.076953,480,17.667996
-877.850787,480,17.96924
-564.834923,480,18.042703
-1186.057221,480,18.114664
-570.206871,480,18.183594
-497.665583,480,18.503458
-323.296306,480,18.575992
-719.656013,480,18.648255
-1211.865126,480,18.717698
-1509.960103,466,18.78739
-1181.393725,480,19.090509
-1532.73158,480,19.1631
-397.96792,480,19.234639
-1644.464339,469,19.305402
-907.838658,480,19.611839
-1172.216294,480,19.684689
-611.60757,480,19.755807
-1908.985467,475,19.826633
-1453.202229,480,20.130376
-1122.636959,480,20.201686
-733.456348,480,20.274044
-962.858793,480,20.346663
-1265.744034,480,20.64833
-349.10864,480,20.719458
-795.575374,480,20.790694
-771.060855,480,20.862428
-1401.562206,466,20.929996
-1927.159071,478,21.233276
-591.850814,480,21.30532
-794.60714,480,21.377767
-682.681698,480,21.448275
-1626.363724,476,21.747789
-1778.352375,476,21.819034
-969.455658,480,21.890313
-220.75494,480,21.962188
-1570.149446,476,22.263105
-1732.627015,467,22.333719
-1917.812275,467,22.403169
-1936.665372,460,22.471383
-1630.539607,472,22.542117
-1541.262207,480,22.844697
-2039.508575,480,22.915433
-1321.645565,480,22.987987
-2446.962706,479,23.06148
-1104.772127,480,23.362079
-1500.162553,480,23.435621
-1066.981267,480,23.508463
-511.357675,480,23.579576
-321.208415,480,23.879714
-1438.91266,475,23.950988
-1823.994779,474,24.023284
-264.527071,480,24.093271
-1371.969909,478,24.392551
-1885.471564,470,24.463985
-2073.868598,461,24.533822
-1449.23182,465,24.603728
-1597.230511,480,24.675391
-1800.340444,462,24.97507
-1497.711572,463,25.044339
-1676.314152,471,25.114322
-1717.951214,468,25.182911
-1664.028345,453,25.480536
-971.994502,480,25.551141
-1560.874338,458,25.620786
-2116.432857,477,25.693122
-527.361757,480,25.76332
-638.473386,480,26.067082
-1428.941259,464,26.137439
-406.527236,480,26.208518
-2335.715076,476,26.278128
-1710.733424,476,26.576539
-1059.508804,480,26.648458
-386.813889,480,26.718385
-643.227646,480,26.794217
-1446.727886,463,27.096946
-581.030993,480,27.173401
-908.806473,480,27.272964
-415.846628,480,27.346287
-1548.595629,468,27.418842
-1213.603422,480,27.727008
-341.153655,480,27.798928
-321.454095,480,27.86901
-1221.417323,480,27.940255
-1439.185063,464,28.246491
-1484.502158,466,28.317429
-308.422215,480,28.389992
-488.541357,480,28.462405
-1424.077965,468,28.761362
-1488.190318,473,28.830956
-746.776184,480,28.902552
-520.025822,480,28.97572
-1757.392736,472,29.277457
-1394.036605,467,29.347791
-1441.217409,475,29.419781
-289.198839,480,29.491912
-324.489621,480,29.561958
-1800.910493,479,29.861531
-499.199218,480,29.933043
-303.03332,480,30.004107
-1370.424372,467,30.07392
-298.218351,480,30.376368
-258.340598,480,30.448778
-659.669702,480,30.519911
-524.87164,480,30.591912
-992.370906,480,30.893355
-787.784836,480,30.96652
-644.33181,480,31.037411
-1028.695364,480,31.108866
-316.018108,480,31.18052
-496.403172,480,31.479312
-363.074832,480,31.552006
-617.745959,480,31.625861
-267.668793,480,31.696755
-471.576777,480,32.003291
-1422.063853,476,32.075512
-228.902402,480,32.146903
-1599.737554,465,32.216102
-578.207153,480,32.519409
-331.435119,480,32.592124
-276.753782,480,32.664809
-397.857682,480,32.736111
-1856.370749,475,33.038507
-226.632298,480,33.112221
-232.138584,480,33.185052
-158.189134,480,33.257112
-392.37307,480,33.32947
-1013.721402,480,33.676441
-877.562858,480,33.748917
-1256.745632,480,33.82025
-1402.828248,480,33.890758
-512.597523,480,34.196242
-1548.033216,475,34.268885
-1616.137369,480,34.340708
-226.164023,480,34.411642
-760.23569,480,34.715215
-885.726668,480,34.786698
-1441.816426,472,34.858006
-243.908537,480,34.928373
-813.246253,480,35.00109
-351.672968,480,35.302582
-626.173547,480,35.373014
-425.287404,480,35.446396
-258.173509,480,35.518124
-128.040701,480,35.820801
-183.821888,480,35.891907
-394.477386,480,35.964158
-576.205995,480,36.036703
-1089.613165,480,36.33961
-623.549197,480,36.411991
-343.265702,480,36.484984
-384.880599,480,36.558046
-510.283753,480,36.859028
