Step,Mean_Reward,Grasp_Error_mm,Place_Error_mm
10000,-20.384216794124473,27.67481833597754,32.48352082179417
20000,-18.58288735783218,27.67481833597754,32.48352082179417
30000,-16.435140937468706,27.67481833597754,32.48352082179417
40000,-13.815800438468425,27.67481833597754,34.571635896988234
50000,-12.405057680011451,27.67481833597754,48.562021948290976
60000,-10.743061740729486,31.50764113946506,32.84048319635581
70000,-8.447452762676791,37.31804035929204,25.127883221195173
80000,-7.161533686149827,35.46066878477652,22.47148115416365
90000,-5.8084607983105805,64.08089532272471,30.15590954777923
100000,-4.98554781948824,29.24297905442108,34.36417614287133
110000,-3.633796753293871,15.640042956046633,35.55705692498244
120000,-2.244280162019596,10.182671128209119,36.631610970637354
130000,-2.094209573503451,11.49803320368231,15.77015196385764
140000,-0.9420987050265516,14.05245924244415,25.575208689718245
150000,-0.3374875544127301,16.860580365895142,22.095074810775717
160000,0.342369258874951,20.124388455085576,28.011417897026064
170000,0.6069334176571329,15.659957974039951,20.95702835768724
180000,1.0158354561732608,17.907619338083702,27.024078521062062
190000,1.2497816572675036,22.36694809440185,39.829149275710606
200000,1.3596293441666687,22.36694809440185,28.37573573964557
210000,1.8792147222388733,19.736762748724466,31.790271252197154
220000,2.0062726416995518,21.85914148807609,38.028151251939754
230000,2.1560489651781514,25.33540052108035,23.909483385435294
240000,2.20581814955474,23.574074036740544,8.522529086849163
250000,2.4928764612951975,31.436966687380753,23.911904081506258
260000,2.7292224227564934,20.799646822317246,35.35266608293849
270000,2.914731012667094,28.65398837910983,14.32501382470785
280000,2.7216083531758843,16.494146568514395,12.915179495378265
290000,2.9214054676191195,24.616123597207388,29.482946057928807
300000,3.271176728548058,24.616123597207388,18.90397203878441
